Pregunta,Explicación,Color
En un buen día … ¿Eres una persona precisa????,"Eres una persona concisa, clara, exacta y rigurosa...",Azul
En un buen día … ¿Eres una persona sistemática????,Eres una persona que realiza las tareas ordenadame...,Azul
En un buen día … ¿Eres una persona curiosa o pregu...,Te prima la tendencia a la investigación y explora...,Azul
En un buen día … ¿Eres una persona análitica????,"Te gusta llegar al fondo de las cosas, quieres sab...",Azul
En un buen día … ¿Eres una persona sensata????,"Consideras que tienes buen juicio, prudencia y mad...",Azul
En un buen día ... ¿Eres una persona perseverante?,Te sueles mantener constante en un proyecto ya com...,Azul
En un buen día … ¿Eres una persona metódica????,Eres una persona disciplinada en el cumplimiento d...,Azul
En un buen día … ¿Eres una persona controlada????,Persona controlada: Que tiene control sobre su...,Azul
En un buen día … ¿Eres una persona disciplinada???...,Persona disciplinada: es aquella persona ordenada ...,Azul
En un buen día … ¿Eres una persona estable????,Persona estable: es la que es capaz de mantenerse ...,Azul
En un mal día ….¿Eres una persona aburrida?,"No es entretenido, eres monótono y predecible",Azul
En un mal día ….¿Eres una persona mezquina?,Persona mezquina: Es aquella que tiene actitud de ...,Azul
En un mal día ….¿Eres una persona quisquillosa?,Que se ofende fácilmente por cosas insignificantes...,Azul
En un mal día ….¿Eres una persona inamovible?,Te cuesta cambiar las decisiones ya tomadas.,Azul
En un mal día ….¿Eres una persona aislada?,Persona que se separa y no se comunica con fluidez...,Azul
En un mal día ….¿Eres una persona Fría?,Persona que no muestra sus sentimientos y es dista...,Azul
En un mal día ….¿Eres una persona suspicaz?,"Tiendes a pensar mal de los demás, creyendo que ti...",Azul
En un mal día ….¿Eres una persona criítica?,"Analizas la realidad, cuestionas las cosas, no te ...",Azul
En un mal día ….¿Eres una persona poco diplomática...,No tienes capacidad de razonar con una persona que...,Azul
En un mal día ….¿Eres una persona susceptible?,Que se ofende o toma a mal las cosas con facilidad,Azul
En un buen día … ¿Eres una persona Fiable????,Se puede confiar en ti,Verde
En un buen día … ¿Eres una persona considerada????,Tienes en cuenta los sentimientos/opiniones de los...,Verde
En un buen día … ¿Eres una persona que comparte???...,"Compartes tanto cosas materiales como personales, ...",Verde
En un buen día … ¿Eres una persona leal????,Que eres incapaz de traicionar o engañar a las per...,Verde
En un buen día … ¿Eres una persona atenta????,Pones atención en lo que haces,Verde
En un buen día … ¿Eres una persona paciente????,Eres tolerante ante actitudes que podrían molestar...,Verde
En un buen día … ¿Eres una persona comprensiva????,Una persona que entiende las circustancias de los ...,Verde
En un buen día … ¿Eres una persona tranquila????,"Eres una persona calmada, que no pierde los nervio...",Verde
En un buen día … ¿Eres una persona considerada????,Tienes en cuenta los sentimientos/opiniones de los...,Verde
En un buen día … ¿Eres una persona discreta????,Es una persona que no busca llamar la atención,Verde
En un mal día ….¿Eres una persona Obstinada (cabez...,"Te mantienes firme en una u opinión, generalmente ...",Verde
En un mal día ….¿Eres una persona precavida?,"Eres una persona prudente, no tomas riesgos innece...",Verde
En un mal día ….¿Eres una persona indecisa?,Te cuesta mucho tomar decisiones,Verde
En un mal día ….¿Eres una persona evasiva?,Evitas afrontar las dificultades,Verde
En un mal día ….¿Eres una persona no conciliadora?,No ayudas a calmar las tensiones o a poner de acue...,Verde
En un mal día ….¿Eres una persona introvertida?,Te cuesta expresar tus sentimientos o estado de án...,Verde
En un mal día ….¿Eres una persona reacia?,Muestras resistencia a hacer las cosas,Verde
En un mal día ….¿Eres una persona desalentadora?,Quitas las ganas de hacer cosas a los demás,Verde
En un mal día ….¿Eres una persona sensible?,"""Tiendes a emocionarte o a dejarte llevar por tus ...",Verde
En un mal día ….¿Eres una persona callada?,"No hablas mucho, dejas que los demás opinen por ti",Verde
En un buen día … ¿Eres una persona emprendedora ??...,Identificas una oportunidad y organizas los recurs...,Rojo
En un buen día … ¿Eres una persona Objetiva ???,"""Eres capaz de analizar las cosas sin que dejarte ...",Rojo
En un buen día … ¿Eres una persona decidida ???,Actuas con decisión y seguridad,Rojo
En un buen día … ¿Eres una persona exigente ???,"Eres una persona rigurosa, estricta tiendes a hace...",Rojo
En un buen día … ¿Eres una persona tenaz ???,Pones mucho empeño y no desiste en algo que quiere...,Rojo
En un buen día … ¿Eres una persona orientada a obj...,"Tienes  largo lo que quieres hacer, fijas priorida...",Rojo
En un buen día … ¿Eres una persona energética ???,Haces las cosas con vitalidad y de forma animosa ,Rojo
En un buen día … ¿Eres una persona organizada ???,"Planificas lo que vas a hacer, cumples los horario...",Rojo
En un buen día … ¿Eres una persona resolutiva ???,"Solucionas los  asuntos o problemas con eficacia, ...",Rojo
En un buen día … ¿Eres una persona competitiva ???,"Eres capaz de hacer casi todo para ganar, no te ri...",Rojo
En un mal dia … ¿Eres una persona dominante ???,"Quieres controlar la situación y a la gente, no de...",Rojo
En un mal dia … ¿Eres una persona agresiva ???,Te comportas con violencia física o verbal,Rojo
En un mal dia … ¿Eres una persona intolerante ???,No te gustan y te fastidian las opiniones distinta...,Rojo
En un mal dia … ¿Eres una persona soberbia ???,Te valoras por encima de los demas: te cuesta pedi...,Rojo
En un mal dia … ¿Eres una persona impaciente ???,Te falta paciencia. Te cuesta realizar acciones mi...,Rojo
En un mal dia … ¿Eres una persona desconsiderada ?...,"No tienes en consideración a los demás, ni sus opi...",Rojo
En un mal dia … ¿Eres una persona grosera ???,"Eres desagradable sin necesidad, ofendes a la gent...",Rojo
En un mal dia … ¿Eres una persona sin escrupulos ?...,No tienes ningún problema en hacer lo que haga fal...,Rojo
En un mal dia … ¿Eres una persona prepotente ???,"Te crees mejor que el resto de la gente,",Rojo
En un mal dia … ¿Eres una persona controladora ???,Le dictas a la gente como tiene que actuar y lo qu...,Rojo
En un buen día … ¿Eres una persona convincente ???,"La gente cree, confía en lo que dices, puedes con...",Amarillo
En un buen día … ¿Eres una persona extrovertida ??...,"Eres abierto, no te cuesta hablar con la gente y e...",Amarillo
En un buen día … ¿Eres una persona entusiasta ???,"Muestra energía y entusiasmo en todo lo que haces,...",Amarillo
En un buen día … ¿Eres una persona optimista ???,Tiendes a ver el lado bueno de las cosas. Sueles j...,Amarillo
En un buen día … ¿Eres una persona sociable ???,Te gusta relacionarse con otras personas y además ...,Amarillo
En un buen día … ¿Eres una persona dinámica a obje...,Cuando tienes que hacer una tarea te marcas las me...,Amarillo
En un buen día … ¿Eres una persona comunicativa ??...,Tienes propensión a comunicarte de una forma fácil...,Amarillo
En un buen día … ¿Eres una persona creativa ???,Eres capaz de producir ideas o comportamientos que...,Amarillo
En un buen día … ¿Eres una persona espontanea ???,Tienes la habilidad de ser natural y sincero en la...,Amarillo
En un buen día … ¿Eres una persona independiente ?...,"Tienes capacidad de decidir por ti mismo, eres aut...",Amarillo
En un mal dia … ¿Eres una persona impulsiva ???,"Haces las cosas sin pensar, sin apenas reflexionar...",Amarillo
En un mal dia … ¿Eres una persona sobreexcitada ??...,"Vas a más revoluciones de las normales, nervioso, ...",Amarillo
En un mal dia … ¿Eres una persona agitada ???,Eres nervioso y transmites esa sensación a los dem...,Amarillo
En un mal dia … ¿Eres una persona exagerada ???,"No te ajustas a la realidad de los hechos, tiendes...",Amarillo
En un mal dia … ¿Eres una persona indiscreta ???,Tiendes a contar secretos o intimidades de la gent...,Amarillo
En un mal dia … ¿Eres una persona extravagante ???,"No te ajustas a las normas, haces cosas que a los ...",Amarillo
"En un mal dia … ¿Eres una persona llamativa, ruido...","Das mucho la nota, te haces de notar pero no para ...",Amarillo
En un mal dia … ¿Eres una persona superficial ???,Te impotan mucho las apariencias ,Amarillo
En un mal dia … ¿Eres una persona descuidada ???,"Tienes falta de interés, atención o cuidado.",Amarillo
En un mal dia … ¿Eres una persona desvergonzada ??...,"Tiendes a se una persona atrevida, insolente, desc...",Amarillo
